0;$;comma;rparenthesis;lparenthesis;rsbrackets;lsbrackets;stringliteral;boolliteral;floatliteral;intliteral;not;minus;plus;divide;multiply;greaterequal;greater;lessequal;less;different;same;and;or;equal;semicolon;return;continue;break;while;for;else;if;rbrackets;lbrackets;id;float;int;boolean;void
A0;0;ε;ε;ARGLIST;ε;lsbrackets EXPR rsbrackets;0;0;0;0;0;ε;ε;ε;ε;ε;ε;ε;ε;ε;ε;ε;ε;ε;ε;0;0;0;0;0;0;0;ε;0;0;0;0;0;0
PARALIST;0;0;0;lparenthesis HAVEPROPERPARALIST rparenthesis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HAVEPROPERPARALIST;0;0;ε;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PROPERPARALIST;PROPERPARALIST;PROPERPARALIST;PROPERPARALIST
PROPERPARALIST;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PARADECL SUBPROPERPARALIST;PARADECL SUBPROPERPARALIST;PARADECL SUBPROPERPARALIST;PARADECL SUBPROPERPARALIST
SUBPROPERPARALIST;0;comma PARADECL SUBPROPERPARALIST;ε;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PARADECL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TYPE DECLARATOR;TYPE DECLARATOR;TYPE DECLARATOR;TYPE DECLARATOR
ARGLIST;0;0;0;lparenthesis HAVEPROPERARGLIST rparenthesis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HAVEPROPERARGLIST;0;0;ε;PROPERARGLIST;0;0;PROPERARGLIST;PROPERARGLIST;PROPERARGLIST;PROPERARGLIST;PROPERARGLIST;PROPERARGLIST;PROPERARGLIST;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PROPERARGLIST;0;0;0;0
PROPERARGLIST;0;0;0;ARG SUBPROPERARGLIST;0;0;ARG SUBPROPERARGLIST;ARG SUBPROPERARGLIST;ARG SUBPROPERARGLIST;ARG SUBPROPERARGLIST;ARG SUBPROPERARGLIST;ARG SUBPROPERARGLIST;ARG SUBPROPERARGLIST;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ARG SUBPROPERARGLIST;0;0;0;0
SUBPROPERARGLIST;0;comma ARG SUBPROPERARGLIST;ε;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARG;0;0;0;EXPR;0;0;EXPR;EXPR;EXPR;EXPR;EXPR;EXPR;EXPR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EXPR;0;0;0;0
